Company Name,link,website,stars,reviews
Ricks Barbershop,https://www.google.com/maps/place/Ricks+Barbershop/data=!4m7!3m6!1s0x89e49dc40899a01f:0x94cd00e68e3dbf2e!8m2!3d42.1282506!4d-70.942194!16s%2Fg%2F11nmpk5jlp!19sChIJH6CZCMSd5IkRLr89juYAzZQ?authuser=0&hl=en&rclk=1,,4.9,48
Cultural Cuts,https://www.google.com/maps/place/Cultural+Cuts/data=!4m7!3m6!1s0x89e4851ef5d41569:0x5a6b044a126748f5!8m2!3d42.0702444!4d-71.0480063!16s%2Fg%2F1tl_0627!19sChIJaRXU9R6F5IkR9UhnEkoEa1o?authuser=0&hl=en&rclk=1,https://booksy.com/en-us/854754_cultural-cuts_barber-shop_22367_brockton?hl=en-US&gei=Le64ZviIIemJptQPxf69mAw&rwg_token=AJKvS9UtZdEilF9vnEPpWzf3fDIK0LDNh8MTQXBzJ5O93eChDec87j14qZXXQhDDy8AU4UhUJRlCSmagIZF8X69ejpfp1LaCbQ%3D%3D,4.5,61
Marvelous Cuts,https://www.google.com/maps/place/Marvelous+Cuts/data=!4m7!3m6!1s0x89e484db8a148b19:0x7d51fb1afed3aede!8m2!3d42.0852364!4d-71.0199974!16s%2Fg%2F1tf32ddx!19sChIJGYsUituE5IkR3q7T_hr7UX0?authuser=0&hl=en&rclk=1,,4.6,284
Silveira’s Barbershop,https://www.google.com/maps/place/Silveira%E2%80%99s+Barbershop/data=!4m7!3m6!1s0x89e485b3f9effa55:0x2a5a81deef761b12!8m2!3d42.0666571!4d-71.0168315!16s%2Fg%2F11hm7wkx4s!19sChIJVfrv-bOF5IkREht2796BWio?authuser=0&hl=en&rclk=1,,4.9,13
Champion Cutz,https://www.google.com/maps/place/Champion+Cutz/data=!4m7!3m6!1s0x89e4850f2f064723:0xe18f88490f1a4bc!8m2!3d42.073641!4d-71.045783!16s%2Fg%2F1td5h440!19sChIJI0cGLw-F5IkRvKTxkIT4GA4?authuser=0&hl=en&rclk=1,,4.5,52
Sodade's Barber Shop,https://www.google.com/maps/place/Sodade%27s+Barber+Shop/data=!4m7!3m6!1s0x89e48539ea6e0001:0x2d9171b3facb7c21!8m2!3d42.063148!4d-71.0150387!16s%2Fg%2F11f2645jrg!19sChIJAQBu6jmF5IkRIXzL-rNxkS0?authuser=0&hl=en&rclk=1,https://booksy.com/en-us/149379_sodade-s-barbershop_barber-shop_22367_brockton?hl=en-US&gei=Le64ZviIIemJptQPxf69mAw&rwg_token=AJKvS9UzYJPNpxLgBzTmjRxTY2UaQNZul4efNJY23AjLLlzAMeWgNedQXdt1q9YjwTD3nQt55XT7Vc9nqhF2fMNn0Zgwf9m9Ww%3D%3D,4.6,124
Eastside Cuts & Hair Salon,https://www.google.com/maps/place/Eastside+Cuts+%26+Hair+Salon/data=!4m7!3m6!1s0x89e484d31a8859bb:0x422b5e9d9bb28ab3!8m2!3d42.0801011!4d-71.003466!16s%2Fg%2F1tf6ychk!19sChIJu1mIGtOE5IkRs4qym51eK0I?authuser=0&hl=en&rclk=1,,4.7,81
Executive Cuts,https://www.google.com/maps/place/Executive+Cuts/data=!4m7!3m6!1s0x89e485584b42fb67:0xc161d80d6c85dd08!8m2!3d42.0834053!4d-71.0201942!16s%2Fg%2F11gv_7w82d!19sChIJZ_tCS1iF5IkRCN2FbA3YYcE?authuser=0&hl=en&rclk=1,,4.2,25
Chop Shop,https://www.google.com/maps/place/Chop+Shop/data=!4m7!3m6!1s0x89e48591fd73aaab:0x5444450df6a793e2!8m2!3d42.058483!4d-71.0670131!16s%2Fg%2F11fz_jcq35!19sChIJq6pz_ZGF5IkR4pOn9g1FRFQ?authuser=0&hl=en&rclk=1,https://www.google.com/maps/reserve/m/x3105FSLzpk?source=pa&opi=79508299&hl=en-US&gei=Le64ZviIIemJptQPxf69mAw&sourceurl=http://www.google.com/service/MapsSearchService/Search?hl%3Den%26gl%3Dus%26authuser%3D0%26q%3Dbarbers%26tbm%3Dmap,4.5,128
Dacada Barbershop,https://www.google.com/maps/place/Dacada+Barbershop/data=!4m7!3m6!1s0x89e4853aff230c33:0x59b90bc1d922c0c!8m2!3d42.0666767!4d-71.0167921!16s%2Fg%2F11cs1cgnwd!19sChIJMwwj_zqF5IkRDCySHbyQmwU?authuser=0&hl=en&rclk=1,,5.0,3
